プライマリーキー,JIS漢字水準,JLPT,人名用漢字,国字,学年,常用漢字,漢検配当級,画数,部首別
顰,JIS第２水準,,,,,,１級,24,頁 页 おおがい・いちのかい
顱,JIS第２水準,,,,,,１級,25,頁 页 おおがい・いちのかい
顴,JIS第２水準,,,,,,１級,26,頁 页 おおがい・いちのかい
顳,JIS第２水準,,,,,,１級,27,頁 页 おおがい・いちのかい
颪,JIS第２水準,,,然り,,,１級,12,風 风 かぜ
颯,JIS第２水準,N１,然り,,,,１級,14,風 风 かぜ
颱,JIS第２水準,,,,,,１級,14,風 风 かぜ
颶,JIS第２水準,,,,,,１級,17,風 风 かぜ
飄,JIS第２水準,,,,,,１級,20,風 风 かぜ
飃,JIS第２水準,,,,,,,20,風 风 かぜ
飆,JIS第２水準,,,,,,１級,21,風 风 かぜ
飩,JIS第２水準,,,,,,１級,13,食 飠 饣 しょく・しょくへん
飫,JIS第２水準,,,,,,１級,13,食 飠 饣 しょく・しょくへん
餃,JIS第２水準,,,,,,１級,15,食 飠 饣 しょく・しょくへん
餉,JIS第２水準,,,,,,１級,15,食 飠 饣 しょく・しょくへん
餒,JIS第２水準,,,,,,１級,16,食 飠 饣 しょく・しょくへん
餔,JIS第２水準,,,,,,１級,16,食 飠 饣 しょく・しょくへん
餘,JIS第２水準,,,,,,,16,食 飠 饣 しょく・しょくへん
餡,JIS第２水準,,,,,,１級,17,食 飠 饣 しょく・しょくへん
餝,JIS第２水準,,,,,,,16,食 飠 饣 しょく・しょくへん
餞,JIS第２水準,,,,,,１級,17,食 飠 饣 しょく・しょくへん
餤,JIS第２水準,,,,,,１級,17,食 飠 饣 しょく・しょくへん
餠,JIS第２水準,,,,,,,17,食 飠 饣 しょく・しょくへん
餬,JIS第２水準,,,,,,１級,18,食 飠 饣 しょく・しょくへん
餮,JIS第２水準,,,,,,１級,18,食 飠 饣 しょく・しょくへん
餽,JIS第２水準,,,,,,１級,19,食 飠 饣 しょく・しょくへん
餾,JIS第２水準,,,,,,１級,19,食 飠 饣 しょく・しょくへん
饂,JIS第２水準,,,然り,,,１級,19,食 飠 饣 しょく・しょくへん
饉,JIS第２水準,,,,,,１級,20,食 飠 饣 しょく・しょくへん
饅,JIS第２水準,,,,,,１級,20,食 飠 饣 しょく・しょくへん
饐,JIS第２水準,,,,,,１級,21,食 飠 饣 しょく・しょくへん
饋,JIS第２水準,,,,,,１級,21,食 飠 饣 しょく・しょくへん
饑,JIS第２水準,,,,,,１級,21,食 飠 饣 しょく・しょくへん
饒,JIS第２水準,,,,,,１級,21,食 飠 饣 しょく・しょくへん
饌,JIS第２水準,,,,,,１級,21,食 飠 饣 しょく・しょくへん
饕,JIS第２水準,,,,,,１級,22,食 飠 饣 しょく・しょくへん
馗,JIS第２水準,,,,,,１級,11,首 くび
馘,JIS第２水準,,,,,,１級,17,首 くび
馥,JIS第２水準,,,,,,１級,18,香 かおり・か
馭,JIS第２水準,,,,,,１級,12,馬 马 うま・うまへん
馮,JIS第２水準,,,,,,１級,12,馬 马 うま・うまへん
馼,JIS第２水準,,,,,,,14,馬 马 うま・うまへん
駟,JIS第２水準,,,,,,１級,15,馬 马 うま・うまへん
駛,JIS第２水準,,,,,,１級,15,馬 马 うま・うまへん
駝,JIS第２水準,,,,,,１級,15,馬 马 うま・うまへん
駘,JIS第２水準,,,,,,１級,15,馬 马 うま・うまへん
駑,JIS第２水準,,,,,,１級,15,馬 马 うま・うまへん
駭,JIS第２水準,,,,,,１級,16,馬 马 うま・うまへん
駮,JIS第２水準,,,,,,１級,16,馬 马 うま・うまへん
駱,JIS第２水準,,,,,,１級,16,馬 马 うま・うまへん
駲,JIS第２水準,,,然り,,,,16,馬 马 うま・うまへん
駻,JIS第２水準,,,,,,１級,17,馬 马 うま・うまへん
駸,JIS第２水準,,,,,,１級,17,馬 马 うま・うまへん
騁,JIS第２水準,,,,,,１級,17,馬 马 うま・うまへん
騏,JIS第２水準,,,,,,１級,18,馬 马 うま・うまへん
騅,JIS第２水準,,,,,,１級,18,馬 马 うま・うまへん
駢,JIS第２水準,,,,,,１級,16,馬 马 うま・うまへん
騙,JIS第２水準,,,,,,１級,19,馬 马 うま・うまへん
騫,JIS第２水準,,,,,,１級,20,馬 马 うま・うまへん
騷,JIS第２水準,,然り,,,,,20,馬 马 うま・うまへん
驅,JIS第２水準,,,,,,,21,馬 马 うま・うまへん
驂,JIS第２水準,,,,,,１級,21,馬 马 うま・うまへん
驀,JIS第２水準,,,,,,１級,20,馬 马 うま・うまへん
驃,JIS第２水準,,,,,,１級,21,馬 马 うま・うまへん
騾,JIS第２水準,,,,,,１級,21,馬 马 うま・うまへん
驕,JIS第２水準,,,,,,１級,22,馬 马 うま・うまへん
驍,JIS第２水準,,然り,,,,１級,22,馬 马 うま・うまへん
驛,JIS第２水準,,,,,,,23,馬 马 うま・うまへん
驗,JIS第２水準,,然り,,,,,23,馬 马 うま・うまへん
驟,JIS第２水準,,,,,,１級,24,馬 马 うま・うまへん
驢,JIS第２水準,,,,,,１級,26,馬 马 うま・うまへん
驥,JIS第２水準,,,,,,１級,26,馬 马 うま・うまへん
驤,JIS第２水準,,,,,,１級,27,馬 马 うま・うまへん
驩,JIS第２水準,,,,,,１級,27,馬 马 うま・うまへん
驫,JIS第２水準,,,,,,,30,馬 马 うま・うまへん
驪,JIS第２水準,,,,,,１級,29,馬 马 うま・うまへん
骭,JIS第２水準,,,,,,１級,13,骨 ほね・ほねへん
骰,JIS第２水準,,,,,,１級,14,骨 ほね・ほねへん
骼,JIS第２水準,,,,,,１級,16,骨 ほね・ほねへん
髀,JIS第２水準,,,,,,１級,18,骨 ほね・ほねへん
髏,JIS第２水準,,,,,,１級,21,骨 ほね・ほねへん
髑,JIS第２水準,,,,,,１級,23,骨 ほね・ほねへん
髓,JIS第２水準,,,,,,,23,骨 ほね・ほねへん
體,JIS第２水準,,,,,,,,骨 ほね・ほねへん
髞,JIS第２水準,,,,,,,23,高 たかい
髟,JIS第２水準,,,,,,,10,髟 かみがしら・かみかんむり
髢,JIS第２水準,,,,,,１級,13,髟 かみがしら・かみかんむり
髣,JIS第２水準,,,,,,１級,14,髟 かみがしら・かみかんむり
髦,JIS第２水準,,,,,,１級,14,髟 かみがしら・かみかんむり
髯,JIS第２水準,,,,,,１級,15,髟 かみがしら・かみかんむり
髫,JIS第２水準,,,,,,１級,15,髟 かみがしら・かみかんむり
髮,JIS第２水準,,然り,,,,,15,髟 かみがしら・かみかんむり
髴,JIS第２水準,,,,,,１級,15,髟 かみがしら・かみかんむり
髱,JIS第２水準,,,,,,１級,15,髟 かみがしら・かみかんむり
髷,JIS第２水準,,,,,,１級,16,髟 かみがしら・かみかんむり
髻,JIS第２水準,,,,,,１級,16,髟 かみがしら・かみかんむり
鬆,JIS第２水準,,,,,,１級,18,髟 かみがしら・かみかんむり
鬘,JIS第２水準,,,,,,１級,21,髟 かみがしら・かみかんむり
鬚,JIS第２水準,,,,,,１級,22,髟 かみがしら・かみかんむり
鬟,JIS第２水準,,,,,,１級,23,髟 かみがしら・かみかんむり
鬢,JIS第２水準,,,,,,１級,24,髟 かみがしら・かみかんむり
鬣,JIS第２水準,,,,,,１級,25,髟 かみがしら・かみかんむり
鬥,JIS第２水準,,,,,,,10,鬥 とうがまえ・たたかいがまえ
鬧,JIS第２水準,,,,,,１級,15,鬥 とうがまえ・たたかいがまえ
鬨,JIS第２水準,,,,,,１級,16,鬥 とうがまえ・たたかいがまえ
鬩,JIS第２水準,,,,,,１級,18,鬥 とうがまえ・たたかいがまえ
鬪,JIS第２水準,,,,,,,20,鬥 とうがまえ・たたかいがまえ
鬮,JIS第２水準,,,,,,１級,26,鬥 とうがまえ・たたかいがまえ
鬯,JIS第２水準,,,,,,１級,10,鬯 ちょう・においざけ
鬲,JIS第２水準,,,,,,,10,鬲 かなえ・れき
魄,JIS第２水準,,,,,,１級,15,鬼 おに・きにょう
魃,JIS第２水準,,,,,,１級,15,鬼 おに・きにょう
魏,JIS第２水準,,,,,,１級,18,鬼 おに・きにょう
魍,JIS第２水準,,,,,,１級,18,鬼 おに・きにょう
魎,JIS第２水準,,,,,,１級,18,鬼 おに・きにょう
魑,JIS第２水準,,,,,,１級,21,鬼 おに・きにょう
魘,JIS第２水準,,,,,,１級,24,鬼 おに・きにょう
魴,JIS第２水準,,,,,,１級,15,魚 鱼 うお・うおへん・さかなへん
鮓,JIS第２水準,,,,,,１級,,魚 鱼 うお・うおへん・さかなへん
鮃,JIS第２水準,,,,,,１級,16,魚 鱼 うお・うおへん・さかなへん
鮑,JIS第２水準,,,,,,１級,16,魚 鱼 うお・うおへん・さかなへん
鮖,JIS第２水準,,,然り,,,１級,16,魚 鱼 うお・うおへん・さかなへん
鮗,JIS第２水準,,,然り,,,１級,16,魚 鱼 うお・うおへん・さかなへん
鮟,JIS第２水準,,,然り,,,１級,17,魚 鱼 うお・うおへん・さかなへん
鮠,JIS第２水準,,,,,,１級,17,魚 鱼 うお・うおへん・さかなへん
鮨,JIS第２水準,,,,,,１級,17,魚 鱼 うお・うおへん・さかなへん
鮴,JIS第２水準,,,然り,,,１級,17,魚 鱼 うお・うおへん・さかなへん
鯀,JIS第２水準,,,,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鯊,JIS第２水準,,,,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鮹,JIS第２水準,,,,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鯆,JIS第２水準,,,,,,,18,魚 鱼 うお・うおへん・さかなへん
鯏,JIS第２水準,,,然り,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鯑,JIS第２水準,,,然り,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鯒,JIS第２水準,,,然り,,,１級,18,魚 鱼 うお・うおへん・さかなへん
鯣,JIS第２水準,,,,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯢,JIS第２水準,,,,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯤,JIS第２水準,,,,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯔,JIS第２水準,,,,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯡,JIS第２水準,,,,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鰺,JIS第２水準,,,,,,準１級,22,魚 鱼 うお・うおへん・さかなへん
鯲,JIS第２水準,,,然り,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯱,JIS第２水準,,,然り,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鯰,JIS第２水準,,,然り,,,１級,19,魚 鱼 うお・うおへん・さかなへん
鰕,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰔,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰉,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰓,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰌,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰆,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰈,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰒,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰊,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰄,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰮,JIS第２水準,,,,,,１級,21,魚 鱼 うお・うおへん・さかなへん
鰛,JIS第２水準,,,,,,１級,20,魚 鱼 うお・うおへん・さかなへん
鰥,JIS第２水準,,,,,,１級,21,魚 鱼 うお・うおへん・さかなへん
鰤,JIS第２水準,,,,,,１級,21,魚 鱼 うお・うおへん・さかなへん
鰡,JIS第２水準,,,然り,,,,21,魚 鱼 うお・うおへん・さかなへん
鰰,JIS第２水準,,,然り,,,１級,21,魚 鱼 うお・うおへん・さかなへん
鱇,JIS第２水準,,,然り,,,１級,22,魚 鱼 うお・うおへん・さかなへん
鰲,JIS第２水準,,,,,,,22,魚 鱼 うお・うおへん・さかなへん
鱆,JIS第２水準,,,,,,１級,22,魚 鱼 うお・うおへん・さかなへん
鰾,JIS第２水準,,,,,,１級,22,魚 鱼 うお・うおへん・さかなへん
鱚,JIS第２水準,,,然り,,,１級,23,魚 鱼 うお・うおへん・さかなへん
鱠,JIS第２水準,,,,,,１級,24,魚 鱼 うお・うおへん・さかなへん
鱧,JIS第２水準,,,,,,１級,24,魚 鱼 うお・うおへん・さかなへん
鱶,JIS第２水準,,,,,,１級,26,魚 鱼 うお・うおへん・さかなへん
鱸,JIS第２水準,,,,,,１級,27,魚 鱼 うお・うおへん・さかなへん
鳧,JIS第２水準,,,,,,１級,13,鳥 鸟 とり・とりへん
鳬,JIS第２水準,,,,,,１級,9,鳥 鸟 とり・とりへん
鳰,JIS第２水準,,,然り,,,１級,13,鳥 鸟 とり・とりへん
鴉,JIS第２水準,,,,,,１級,15,鳥 鸟 とり・とりへん
鴈,JIS第２水準,,,,,,準１級,15,鳥 鸟 とり・とりへん
鳫,JIS第２水準,,,,,,,13,鳥 鸟 とり・とりへん
鴃,JIS第２水準,,,,,,１級,15,鳥 鸟 とり・とりへん
鴆,JIS第２水準,,,,,,１級,15,鳥 鸟 とり・とりへん
鴪,JIS第２水準,,,,,,１級,16,鳥 鸟 とり・とりへん
鴦,JIS第２水準,,,,,,準１級,16,鳥 鸟 とり・とりへん
鶯,JIS第２水準,,,,,,準１級,21,鳥 鸟 とり・とりへん
鴣,JIS第２水準,,,,,,１級,16,鳥 鸟 とり・とりへん
鴟,JIS第２水準,,,,,,１級,16,鳥 鸟 とり・とりへん
鵄,JIS第２水準,,,,,,１級,17,鳥 鸟 とり・とりへん
鴕,JIS第２水準,,,,,,１級,16,鳥 鸟 とり・とりへん
鴒,JIS第２水準,,,,,,１級,16,鳥 鸟 とり・とりへん
鵁,JIS第２水準,,,,,,１級,17,鳥 鸟 とり・とりへん
鴿,JIS第２水準,,,,,,１級,17,鳥 鸟 とり・とりへん
鴾,JIS第２水準,,,,,,１級,17,鳥 鸟 とり・とりへん
鵆,JIS第２水準,,,然り,,,１級,17,鳥 鸟 とり・とりへん
鵈,JIS第２水準,,,然り,,,,17,鳥 鸟 とり・とりへん
鵝,JIS第２水準,,,,,,１級,18,鳥 鸟 とり・とりへん
鵞,JIS第２水準,,,,,,１級,18,鳥 鸟 とり・とりへん
鵤,JIS第２水準,,,然り,,,１級,18,鳥 鸟 とり・とりへん
鵑,JIS第２水準,,,,,,１級,18,鳥 鸟 とり・とりへん
鵐,JIS第２水準,,,,,,,18,鳥 鸟 とり・とりへん
鵙,JIS第２水準,,,,,,１級,18,鳥 鸟 とり・とりへん
鵲,JIS第２水準,,,,,,１級,19,鳥 鸟 とり・とりへん
鶉,JIS第２水準,,,,,,１級,19,鳥 鸟 とり・とりへん
鶇,JIS第２水準,,,,,,１級,19,鳥 鸟 とり・とりへん
鶫,JIS第２水準,,,然り,,,１級,20,鳥 鸟 とり・とりへん
鵯,JIS第２水準,,,,,,１級,19,鳥 鸟 とり・とりへん
鵺,JIS第２水準,,,,,,１級,19,鳥 鸟 とり・とりへん
鶚,JIS第２水準,,,,,,１級,20,鳥 鸟 とり・とりへん
鶤,JIS第２水準,,,,,,１級,20,鳥 鸟 とり・とりへん
鶩,JIS第２水準,,,,,,１級,20,鳥 鸟 とり・とりへん
鶲,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鷄,JIS第２水準,,然り,,,,,21,鳥 鸟 とり・とりへん
鷁,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鶻,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鶸,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鶺,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鷆,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鷏,JIS第２水準,,,,,,,21,鳥 鸟 とり・とりへん
鷂,JIS第２水準,,,,,,１級,21,鳥 鸟 とり・とりへん
鷙,JIS第２水準,,,,,,１級,22,鳥 鸟 とり・とりへん
鷓,JIS第２水準,,,,,,１級,22,鳥 鸟 とり・とりへん
鷸,JIS第２水準,,,,,,１級,23,鳥 鸟 とり・とりへん
鷦,JIS第２水準,,,,,,１級,23,鳥 鸟 とり・とりへん
鷭,JIS第２水準,,,,,,１級,23,鳥 鸟 とり・とりへん
鷯,JIS第２水準,,,,,,１級,23,鳥 鸟 とり・とりへん
鷽,JIS第２水準,,,,,,１級,24,鳥 鸟 とり・とりへん
鸚,JIS第２水準,,,,,,準１級,28,鳥 鸟 とり・とりへん
鸛,JIS第２水準,,,,,,１級,28,鳥 鸟 とり・とりへん
鸞,JIS第２水準,,,,,,１級,30,鳥 鸟 とり・とりへん
鹵,JIS第２水準,,,,,,１級,11,鹵 ろ・しお・しおへん
鹹,JIS第２水準,,,,,,１級,20,鹵 ろ・しお・しおへん
鹽,JIS第２水準,,,,,,,25,鹵 ろ・しお・しおへん
麁,JIS第２水準,,,,,,１級,13,鹿 しか・しかへん
麈,JIS第２水準,,,,,,１級,16,鹿 しか・しかへん
麋,JIS第２水準,,,,,,１級,17,鹿 しか・しかへん
麌,JIS第２水準,,,,,,１級,18,鹿 しか・しかへん
麒,JIS第２水準,,然り,,,,準１級,19,鹿 しか・しかへん
麕,JIS第２水準,,,,,,１級,19,鹿 しか・しかへん
麑,JIS第２水準,,,,,,１級,19,鹿 しか・しかへん
麝,JIS第２水準,,,,,,１級,21,鹿 しか・しかへん
麥,JIS第２水準,,,,,,,18,麥 麦 むぎ・むぎへん・ばくにょう
麩,JIS第２水準,,,,,,１級,15,麥 麦 むぎ・むぎへん・ばくにょう
麸,JIS第２水準,,,,,,１級,11,麥 麦 むぎ・むぎへん・ばくにょう
麪,JIS第２水準,,,,,,準１級,15,麥 麦 むぎ・むぎへん・ばくにょう
麭,JIS第２水準,,,,,,１級,16,麥 麦 むぎ・むぎへん・ばくにょう
靡,JIS第２水準,,,,,,１級,19,非 あらず・ひ
黌,JIS第２水準,,,,,,１級,25,黄 黃 き・きいろ
黎,JIS第２水準,N１,然り,,,,１級,15,黍 きび
黏,JIS第２水準,,,,,,１級,17,黍 きび
黐,JIS第２水準,,,,,,１級,23,黍 きび
黔,JIS第２水準,,,,,,１級,16,黒 黑 くろ・くろへん
黜,JIS第２水準,,,,,,１級,17,黒 黑 くろ・くろへん
點,JIS第２水準,,,,,,,,黒 黑 くろ・くろへん
黝,JIS第２水準,,,,,,１級,17,黒 黑 くろ・くろへん
黠,JIS第２水準,,,,,,１級,18,黒 黑 くろ・くろへん
黥,JIS第２水準,,,,,,１級,20,黒 黑 くろ・くろへん
黨,JIS第２水準,,,,,,,20,黒 黑 くろ・くろへん
黯,JIS第２水準,,,,,,１級,21,黒 黑 くろ・くろへん
黴,JIS第２水準,,,,,,１級,23,黒 黑 くろ・くろへん
黶,JIS第２水準,,,,,,１級,26,黒 黑 くろ・くろへん
黷,JIS第２水準,,,,,,１級,27,黒 黑 くろ・くろへん
黹,JIS第２水準,,,,,,１級,12,黹 ち・ぬいとり・ふつへん
黻,JIS第２水準,,,,,,１級,17,黹 ち・ぬいとり・ふつへん
黼,JIS第２水準,,,,,,１級,19,黹 ち・ぬいとり・ふつへん
黽,JIS第２水準,,,,,,１級,13,黽 黾 べんあし・かえる
鼇,JIS第２水準,,,,,,１級,24,黽 黾 べんあし・かえる
鼈,JIS第２水準,,,,,,１級,25,黽 黾 べんあし・かえる
皷,JIS第２水準,,,,,,,14,鼓 つづみ
鼕,JIS第２水準,,,,,,１級,18,鼓 つづみ
鼡,JIS第２水準,,,,,,,8,鼠 ねずみ・ねずみへん
鼬,JIS第２水準,,,,,,１級,18,鼠 ねずみ・ねずみへん
鼾,JIS第２水準,,,,,,１級,17,鼻 はな・はなへん
齊,JIS第２水準,,然り,,,,,14,斉 齊 齐 せい
齒,JIS第２水準,,,,,,,,歯 齒 齿 は・はへん
齔,JIS第２水準,,,,,,１級,17,歯 齒 齿 は・はへん
齣,JIS第２水準,,,,,,１級,20,歯 齒 齿 は・はへん
齟,JIS第２水準,,,,,,１級,20,歯 齒 齿 は・はへん
齠,JIS第２水準,,,,,,１級,20,歯 齒 齿 は・はへん
齡,JIS第２水準,,,,,,,20,歯 齒 齿 は・はへん
齦,JIS第２水準,,,,,,１級,21,歯 齒 齿 は・はへん
齧,JIS第２水準,,,,,,１級,21,歯 齒 齿 は・はへん
齬,JIS第２水準,,,,,,１級,22,歯 齒 齿 は・はへん
齪,JIS第２水準,,,,,,１級,22,歯 齒 齿 は・はへん
齷,JIS第２水準,,,,,,１級,24,歯 齒 齿 は・はへん
齲,JIS第２水準,,,,,,１級,24,歯 齒 齿 は・はへん
齶,JIS第２水準,,,,,,１級,24,歯 齒 齿 は・はへん
龕,JIS第２水準,,,,,,１級,22,龍 竜 龙 りゅう・たつ
龜,JIS第２水準,,,,,,,16,龜 亀 龟 かめ
龠,JIS第２水準,,,,,,１級,17,
堯,JIS第２水準,,然り,,,,,12,土 つち・つちへん・どへん
槇,JIS第２水準,,然り,,,,,14,木 き・きへん
遙,JIS第２水準,,然り,,,,,14,辵 辶 しんにょう・しんにゅう
瑤,JIS第２水準,,,,,,,14,玉 王 たま・たまへん・おう・おうへん
凜,JIS第２水準,N１,然り,,,,１級,15,冫 にすい
熙,JIS第２水準,N１,然り,,,,１級,15,火 灬 ひ・ひへん・れっか・れんが
丨,JIS第３水準,,,,,,,1,丨 たてぼう・ぼう
丯,JIS第３水準,,,,,,,,丨 たてぼう・ぼう
丰,JIS第３水準,,,,,,,,丨 たてぼう・ぼう
亍,JIS第３水準,,,,,,,,二 に
仡,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
份,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
仿,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
伃,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
伋,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佈,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佉,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佖,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佟,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
你,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佪,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佬,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
佾,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
侊,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
侔,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
侗,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
俉,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
俠,JIS第３水準,,然り,,,,準１級,9,人 亻 ひと・にんべん・ひとがしら・ひとやね
俱,JIS第３水準,,然り,,,,準１級,10,人 亻 ひと・にんべん・ひとがしら・ひとやね
倁,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
倂,JIS第３水準,,,,,,,10,人 亻 ひと・にんべん・ひとがしら・ひとやね
倎,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
倘,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
倧,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
倮,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
倻,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
偀,JIS第３水準,,,,,,,11,人 亻 ひと・にんべん・ひとがしら・ひとやね
偁,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
傔,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
僌,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
僐,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
僦,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
僲,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
儃,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
儆,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
儋,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
儞,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
儵,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
兊,JIS第３水準,,,,,,,,儿 にんにょう・ひとあし
兕,JIS第３水準,,,,,,,,儿 にんにょう・ひとあし
兗,JIS第３水準,,,,,,,,儿 にんにょう・ひとあし
冝,JIS第３水準,,,,,,,7,冖 わかんむり・ひらかんむり・べきかんむり
凃,JIS第３水準,,,,,,,,冫 にすい
凊,JIS第３水準,,,,,,１級,,冫 にすい
凞,JIS第３水準,,,,,,,,冫 にすい
凢,JIS第３水準,,,,,,,3,几 つくえ・きにょう・かぜかんむり・かぜがまえ・かざがまえ
凮,JIS第３水準,,,,,,,8,几 つくえ・きにょう・かぜかんむり・かぜがまえ・かざがまえ
刁,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
刓,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
刕,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
剉,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
剗,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
剝,JIS第３水準,,,,中学校一～三年生,然り,２級,10,刀 刂 かたな・りっとう
剡,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
劓,JIS第３水準,,,,,,,,刀 刂 かたな・りっとう
勈,JIS第３水準,,,,,,,9,力 ちから
勌,JIS第３水準,,,,,,,,力 ちから
勐,JIS第３水準,,,,,,,,力 ちから
勖,JIS第３水準,,,,,,１級,,力 ちから
勛,JIS第３水準,,,,,,,12,力 ちから
勰,JIS第３水準,,,,,,,,力 ちから
勻,JIS第３水準,,,,,,,4,勹 つつみがまえ
匀,JIS第３水準,,,,,,,4,勹 つつみがまえ
匇,JIS第３水準,,,,,,,,勹 つつみがまえ
匜,JIS第３水準,,,,,,,,匚 はこがまえ
卡,JIS第３水準,,,,,,,,卜 ぼく・ぼくのと・と・うらない
卣,JIS第３水準,,,,,,,,卜 ぼく・ぼくのと・と・うらない
卽,JIS第３水準,,然り,,,,,9,卩 㔾 ふしづくり・わりふ
厓,JIS第３水準,,,,,,,,厂 がんだれ
厝,JIS第３水準,,,,,,,,厂 がんだれ
厲,JIS第３水準,,,,,,１級,,厂 がんだれ
吒,JIS第３水準,,,,,,,,口 くち・くちへん
吞,JIS第３水準,,然り,,,,準１級,7,口 くち・くちへん
吧,JIS第３水準,,,,,,,,口 くち・くちへん
呍,JIS第３水準,,,,,,,,口 くち・くちへん
呫,JIS第３水準,,,,,,,,口 くち・くちへん
呴,JIS第３水準,,,,,,,,口 くち・くちへん
呿,JIS第３水準,,,,,,,,口 くち・くちへん
咈,JIS第３水準,,,,,,,,口 くち・くちへん
